10.192.18.106 - - [29/Mar/2017:20:23:56 +0200] "GET /icons/back.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:23:56 +0200] "GET /icons/image2.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:23:56 +0200] "GET /icons/layout.gif HTTP/1.1" 304 181 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:26:33 +0200] "GET /~jeremie_zanone/raw_files/ HTTP/1.1" 200 1021 "http://ads.lan.iict.ch/~jeremie_zanone/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:26:33 +0200] "GET /icons/blank.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:26:33 +0200] "GET /icons/back.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:26:33 +0200] "GET /icons/image2.gif HTTP/1.1" 304 181 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:26:33 +0200] "GET /icons/layout.gif HTTP/1.1" 304 181 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:26:33 +0200] "GET /icons/folder.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:26:34 +0200] "GET /~jeremie_zanone/raw_files/test/ HTTP/1.1" 200 894 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:14 +0200] "GET /~jeremie_zanone/raw_files/test/ HTTP/1.1" 200 895 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:14 +0200] "GET /icons/blank.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:14 +0200] "GET /icons/back.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:14 +0200] "GET /icons/image2.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:15 +0200] "GET /~jeremie_zanone/raw_files/test/ HTTP/1.1" 200 894 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:15 +0200] "GET /icons/blank.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:15 +0200] "GET /icons/back.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:15 +0200] "GET /icons/image2.gif HTTP/1.1" 304 181 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:16 +0200] "GET /~jeremie_zanone/raw_files/test/ HTTP/1.1" 200 894 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:16 +0200] "GET /icons/blank.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:16 +0200] "GET /icons/back.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:16 +0200] "GET /icons/image2.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:17 +0200] "GET /~jeremie_zanone/raw_files/test/ HTTP/1.1" 200 894 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:17 +0200] "GET /icons/blank.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:17 +0200] "GET /icons/back.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:38:17 +0200] "GET /icons/image2.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:39:55 +0200] "GET /~jeremie_zanone/raw_files/test/ HTTP/1.1" 200 895 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:39:56 +0200] "GET /icons/blank.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:39:56 +0200] "GET /icons/back.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:39:56 +0200] "GET /icons/image2.gif HTTP/1.1" 304 181 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/test/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:21 +0200] "GET /~jeremie_zanone/raw_files/ HTTP/1.1" 200 1126 "http://ads.lan.iict.ch/~jeremie_zanone/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:21 +0200] "GET /icons/blank.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:21 +0200] "GET /icons/back.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:21 +0200] "GET /icons/image2.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:21 +0200] "GET /icons/layout.gif HTTP/1.1" 304 181 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:21 +0200] "GET /icons/folder.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:26 +0200] "GET /~jeremie_zanone/raw_files/ HTTP/1.1" 200 1125 "http://ads.lan.iict.ch/~jeremie_zanone/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:26 +0200] "GET /icons/blank.gif HTTP/1.1" 304 179 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:26 +0200] "GET /icons/back.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:26 +0200] "GET /icons/image2.gif HTTP/1.1" 304 181 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
10.192.18.106 - - [29/Mar/2017:20:48:26 +0200] "GET /icons/layout.gif HTTP/1.1" 304 180 "http://ads.lan.iict.ch/~jeremie_zanone/raw_files/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
